2019-06-14 19:43:14,21.59 G,317.53 G,371.98 K,1.88 M
2019-06-14 19:43:16,21.59 G,317.53 G,400.25 K,1.96 M
2019-06-14 19:43:18,21.60 G,317.53 G,387.98 K,1.97 M
2019-06-14 19:43:20,21.60 G,317.54 G,373.33 K,1.99 M
2019-06-14 19:43:22,21.60 G,317.54 G,340.67 K,1.75 M
2019-06-14 19:43:24,21.60 G,317.55 G,385.56 K,2.00 M
2019-06-14 19:43:26,21.60 G,317.55 G,197.35 K,1.07 M
2019-06-14 19:43:28,21.60 G,317.55 G,379.70 K,1.89 M
2019-06-14 19:43:30,21.60 G,317.56 G,400.53 K,1.97 M
2019-06-14 19:43:32,21.60 G,317.56 G,389.95 K,2.01 M
2019-06-14 19:43:34,21.60 G,317.56 G,391.00 K,1.98 M
2019-06-14 19:43:36,21.60 G,317.57 G,410.95 K,2.06 M
2019-06-14 19:43:38,21.60 G,317.57 G,409.31 K,2.01 M
2019-06-14 19:43:40,21.60 G,317.58 G,351.77 K,2.01 M
2019-06-14 19:43:42,21.60 G,317.58 G,398.46 K,1.99 M
2019-06-14 19:43:44,21.60 G,317.58 G,396.81 K,1.99 M
2019-06-14 19:43:46,21.61 G,317.59 G,247.64 K,1.24 M
2019-06-14 19:43:55,21.61 G,317.59 G,444.18 K,1.96 M
2019-06-14 19:43:57,21.61 G,317.60 G,444.83 K,1.96 M
2019-06-14 19:43:59,21.61 G,317.60 G,439.92 K,1.94 M
2019-06-14 19:44:01,21.61 G,317.60 G,436.04 K,1.93 M
2019-06-14 19:44:03,21.61 G,317.61 G,458.37 K,2.02 M
2019-06-14 19:44:05,21.61 G,317.61 G,457.88 K,2.02 M
2019-06-14 19:44:07,21.61 G,317.62 G,428.52 K,1.89 M
2019-06-14 19:44:09,21.61 G,317.62 G,469.52 K,2.07 M
2019-06-14 19:44:11,21.61 G,317.62 G,429.44 K,1.90 M
2019-06-14 19:44:13,21.61 G,317.63 G,452.50 K,2.01 M
2019-06-14 19:44:15,21.62 G,317.63 G,438.06 K,1.94 M
2019-06-14 19:44:17,21.62 G,317.64 G,465.76 K,2.04 M
2019-06-14 19:44:19,21.62 G,317.64 G,453.85 K,2.00 M
2019-06-14 19:44:21,21.62 G,317.64 G,448.26 K,2.00 M
2019-06-14 19:44:23,21.62 G,317.65 G,452.96 K,2.00 M
2019-06-14 19:44:25,21.62 G,317.65 G,439.13 K,1.94 M
2019-06-14 19:44:27,21.62 G,317.66 G,449.61 K,1.98 M
2019-06-14 19:44:29,21.62 G,317.66 G,449.28 K,1.98 M
2019-06-14 19:44:31,21.62 G,317.66 G,462.39 K,2.03 M
2019-06-14 19:44:33,21.62 G,317.67 G,450.10 K,1.99 M
2019-06-14 19:44:35,21.62 G,317.67 G,453.81 K,2.01 M
2019-06-14 19:44:37,21.62 G,317.67 G,464.94 K,2.04 M
2019-06-14 19:44:39,21.63 G,317.68 G,469.60 K,2.08 M
2019-06-14 19:44:41,21.63 G,317.68 G,446.94 K,1.98 M
2019-06-14 19:44:43,21.63 G,317.69 G,456.98 K,2.02 M
2019-06-14 19:44:46,21.63 G,317.69 G,444.86 K,1.95 M
2019-06-14 19:44:48,21.63 G,317.69 G,429.12 K,1.87 M
2019-06-14 19:44:51,21.63 G,317.70 G,431.97 K,1.91 M
2019-06-14 19:44:53,21.63 G,317.70 G,459.96 K,2.03 M
2019-06-14 19:44:55,21.63 G,317.71 G,445.57 K,1.97 M
2019-06-14 19:44:57,21.63 G,317.71 G,430.92 K,1.91 M
2019-06-14 19:44:59,21.63 G,317.71 G,456.75 K,2.02 M
2019-06-14 19:45:01,21.63 G,317.72 G,453.64 K,2.00 M
2019-06-14 19:45:03,21.64 G,317.72 G,452.46 K,2.00 M
2019-06-14 19:45:05,21.64 G,317.73 G,449.28 K,1.99 M
2019-06-14 19:45:07,21.64 G,317.73 G,444.16 K,1.96 M
2019-06-14 19:45:09,21.64 G,317.73 G,437.71 K,1.93 M
2019-06-14 19:45:11,21.64 G,317.74 G,455.61 K,2.01 M
2019-06-14 19:45:13,21.64 G,317.74 G,465.17 K,2.06 M
2019-06-14 19:45:15,21.64 G,317.74 G,463.12 K,2.03 M
2019-06-14 19:45:17,21.64 G,317.75 G,445.42 K,1.97 M
2019-06-14 19:45:19,21.64 G,317.75 G,467.07 K,2.37 M
2019-06-14 19:45:21,21.64 G,317.76 G,442.07 K,1.94 M
2019-06-14 19:45:23,21.64 G,317.76 G,450.57 K,2.00 M
2019-06-14 19:45:25,21.64 G,317.76 G,455.93 K,2.01 M
2019-06-14 19:45:27,21.65 G,317.77 G,462.15 K,2.03 M
2019-06-14 19:45:29,21.65 G,317.77 G,476.42 K,2.10 M
2019-06-14 19:45:31,21.65 G,317.78 G,480.80 K,2.11 M
2019-06-14 19:45:33,21.65 G,317.78 G,473.16 K,2.08 M
2019-06-14 19:45:35,21.65 G,317.78 G,461.72 K,2.03 M
2019-06-14 19:45:37,21.65 G,317.79 G,451.62 K,2.01 M
2019-06-14 19:45:39,21.65 G,317.79 G,386.65 K,1.70 M
2019-06-14 19:45:44,21.65 G,317.80 G,441.39 K,2.00 M
2019-06-14 19:45:46,21.65 G,317.80 G,443.46 K,2.00 M
2019-06-14 19:45:49,21.65 G,317.80 G,446.85 K,2.03 M
2019-06-14 19:45:51,21.65 G,317.81 G,341.60 K,1.54 M
2019-06-14 19:45:53,21.65 G,317.81 G,419.95 K,1.90 M
2019-06-14 19:45:55,21.66 G,317.82 G,421.34 K,1.90 M
2019-06-14 19:45:57,21.66 G,317.82 G,429.76 K,1.94 M
2019-06-14 19:45:59,21.66 G,317.82 G,412.16 K,1.87 M
2019-06-14 19:46:01,21.66 G,317.83 G,444.84 K,2.02 M
2019-06-14 19:46:03,21.66 G,317.83 G,431.78 K,1.96 M
2019-06-14 19:46:05,21.66 G,317.83 G,435.20 K,2.00 M
2019-06-14 19:46:07,21.66 G,317.84 G,300.81 K,1.35 M
2019-06-14 19:46:09,21.66 G,317.84 G,430.82 K,1.95 M
2019-06-14 19:46:11,21.66 G,317.84 G,424.17 K,1.93 M
2019-06-14 19:46:13,21.66 G,317.85 G,442.13 K,2.02 M
2019-06-14 19:46:15,21.66 G,317.85 G,409.33 K,1.88 M
2019-06-14 19:46:17,21.66 G,317.86 G,439.01 K,2.01 M
2019-06-14 19:46:19,21.67 G,317.86 G,440.16 K,2.02 M
2019-06-14 19:46:21,21.67 G,317.86 G,428.23 K,1.95 M
2019-06-14 19:46:23,21.67 G,317.87 G,443.82 K,2.03 M
2019-06-14 19:46:25,21.67 G,317.87 G,439.59 K,2.01 M
2019-06-14 19:46:27,21.67 G,317.88 G,439.07 K,1.99 M
2019-06-14 19:46:29,21.67 G,317.88 G,419.72 K,1.91 M
2019-06-14 19:46:31,21.67 G,317.88 G,442.01 K,2.02 M
2019-06-14 19:46:33,21.67 G,317.89 G,439.21 K,2.00 M
2019-06-14 19:46:35,21.67 G,317.89 G,443.75 K,2.03 M
2019-06-14 19:46:37,21.67 G,317.89 G,444.52 K,2.03 M
2019-06-14 19:46:39,21.67 G,317.90 G,430.96 K,1.98 M
2019-06-14 19:46:41,21.67 G,317.90 G,442.14 K,2.02 M
2019-06-14 19:46:44,21.68 G,317.91 G,418.66 K,1.91 M
2019-06-14 19:46:46,21.68 G,317.91 G,435.59 K,1.99 M
2019-06-14 19:46:48,21.68 G,317.91 G,427.45 K,1.96 M
2019-06-14 19:46:50,21.68 G,317.92 G,359.67 K,1.64 M
2019-06-14 19:46:52,21.68 G,317.92 G,415.72 K,1.90 M
2019-06-14 19:46:54,21.68 G,317.93 G,426.40 K,1.94 M
2019-06-14 19:46:56,21.68 G,317.93 G,424.52 K,1.92 M
2019-06-14 19:46:58,21.68 G,317.93 G,415.43 K,1.89 M
2019-06-14 19:47:00,21.68 G,317.94 G,429.71 K,1.97 M
2019-06-14 19:47:02,21.68 G,317.94 G,411.75 K,1.88 M
2019-06-14 19:47:04,21.68 G,317.94 G,444.22 K,2.03 M
2019-06-14 19:47:06,21.68 G,317.95 G,432.22 K,1.98 M
2019-06-14 19:47:08,21.69 G,317.95 G,423.36 K,1.93 M
2019-06-14 19:47:10,21.69 G,317.96 G,412.74 K,1.88 M
2019-06-14 19:47:12,21.69 G,317.96 G,411.26 K,1.87 M
2019-06-14 19:47:14,21.69 G,317.96 G,426.72 K,1.93 M
2019-06-14 19:47:16,21.69 G,317.97 G,427.46 K,1.94 M
2019-06-14 19:47:18,21.69 G,317.97 G,449.77 K,2.04 M
2019-06-14 19:47:20,21.69 G,317.97 G,442.33 K,2.02 M
2019-06-14 19:47:22,21.69 G,317.98 G,354.72 K,1.62 M
2019-06-14 19:47:24,21.69 G,317.98 G,454.98 K,2.08 M
2019-06-14 19:47:26,21.69 G,317.98 G,58.05 K,262.19 K
2019-06-14 19:47:31,21.69 G,317.99 G,440.32 K,1.92 M
2019-06-14 19:47:33,21.69 G,317.99 G,435.27 K,1.90 M
2019-06-14 19:47:35,21.69 G,318.00 G,452.39 K,1.98 M
2019-06-14 19:47:38,21.70 G,318.00 G,424.73 K,1.86 M
2019-06-14 19:47:40,21.70 G,318.00 G,438.01 K,1.91 M
2019-06-14 19:47:42,21.70 G,318.01 G,445.72 K,1.93 M
2019-06-14 19:47:44,21.70 G,318.01 G,18.48 K,82.07 K
2019-06-14 19:47:46,21.70 G,318.01 G,420.58 K,1.84 M
2019-06-14 19:47:48,21.70 G,318.02 G,425.23 K,1.85 M
2019-06-14 19:47:51,21.70 G,318.02 G,446.12 K,1.97 M
2019-06-14 19:47:53,21.70 G,318.03 G,438.92 K,1.94 M
2019-06-14 19:47:55,21.70 G,318.03 G,439.50 K,1.94 M
2019-06-14 19:47:58,21.70 G,318.03 G,432.50 K,1.91 M
