2019-06-16 15:37:58,1002.62 M,4.71 G,324.37 K,1.37 M
2019-06-16 15:38:00,1003.15 M,4.71 G,297.03 K,1.26 M
2019-06-16 15:38:02,1003.80 M,4.71 G,348.32 K,1.49 M
2019-06-16 15:38:04,1004.35 M,4.71 G,289.28 K,1.23 M
2019-06-16 15:38:06,1004.97 M,4.72 G,324.11 K,1.38 M
2019-06-16 15:38:08,1005.60 M,4.72 G,331.91 K,1.41 M
2019-06-16 15:38:10,1006.21 M,4.72 G,306.72 K,1.31 M
2019-06-16 15:38:12,1006.83 M,4.72 G,328.25 K,1.39 M
2019-06-16 15:38:14,1007.41 M,4.73 G,293.23 K,1.24 M
2019-06-16 15:38:16,1008.04 M,4.73 G,320.41 K,1.36 M
2019-06-16 15:38:18,1008.73 M,4.73 G,345.90 K,1.47 M
2019-06-16 15:38:20,1009.36 M,4.74 G,343.41 K,1.45 M
2019-06-16 15:38:22,1009.95 M,4.74 G,289.54 K,1.23 M
2019-06-16 15:38:24,1010.56 M,4.74 G,311.70 K,1.33 M
2019-06-16 15:38:26,1011.17 M,4.74 G,309.92 K,1.32 M
2019-06-16 15:38:28,1011.74 M,4.75 G,311.04 K,1.32 M
2019-06-16 15:38:30,1012.33 M,4.75 G,314.05 K,1.34 M
2019-06-16 15:38:32,1012.92 M,4.75 G,288.62 K,1.23 M
2019-06-16 15:38:34,1013.56 M,4.75 G,331.81 K,1.41 M
2019-06-16 15:38:37,1014.14 M,4.76 G,297.67 K,1.27 M
2019-06-16 15:38:39,1014.75 M,4.76 G,318.72 K,1.35 M
2019-06-16 15:38:41,1015.34 M,4.76 G,304.51 K,1.30 M
2019-06-16 15:38:43,1015.90 M,4.76 G,292.76 K,1.24 M
2019-06-16 15:38:45,1016.53 M,4.77 G,327.60 K,1.39 M
2019-06-16 15:38:47,1017.11 M,4.77 G,305.89 K,1.30 M
2019-06-16 15:38:49,1017.68 M,4.77 G,312.46 K,1.32 M
2019-06-16 15:38:51,1018.26 M,4.77 G,290.67 K,1.24 M
2019-06-16 15:38:53,1018.84 M,4.78 G,313.76 K,1.33 M
2019-06-16 15:38:55,1019.42 M,4.78 G,301.80 K,1.28 M
2019-06-16 15:38:57,1020.03 M,4.78 G,303.33 K,1.30 M
2019-06-16 15:38:59,1020.63 M,4.78 G,307.66 K,1.31 M
2019-06-16 15:39:01,1021.26 M,4.79 G,317.49 K,1.35 M
2019-06-16 15:39:03,1021.88 M,4.79 G,319.75 K,1.35 M
2019-06-16 15:39:05,1022.54 M,4.79 G,330.39 K,1.40 M
2019-06-16 15:39:07,1023.19 M,4.79 G,346.91 K,1.47 M
2019-06-16 15:39:09,1023.82 M,4.80 G,326.41 K,1.39 M
2019-06-16 15:39:11,1.00 G,4.80 G,344.26 K,1.46 M
2019-06-16 15:39:13,1.00 G,4.80 G,337.87 K,1.44 M
2019-06-16 15:39:15,1.00 G,4.81 G,330.83 K,1.41 M
2019-06-16 15:39:17,1.00 G,4.81 G,207.95 K,896.69 K
2019-06-16 15:39:19,1.00 G,4.81 G,292.97 K,1.37 M
2019-06-16 15:39:21,1.00 G,4.81 G,297.84 K,1.39 M
2019-06-16 15:39:24,1.00 G,4.82 G,326.24 K,1.44 M
2019-06-16 15:39:26,1.00 G,4.82 G,349.15 K,1.54 M
2019-06-16 15:39:28,1.01 G,4.82 G,338.79 K,1.50 M
2019-06-16 15:39:30,1.01 G,4.82 G,339.55 K,1.50 M
2019-06-16 15:39:32,1.01 G,4.83 G,338.33 K,1.49 M
2019-06-16 15:39:34,1.01 G,4.83 G,348.79 K,1.54 M
2019-06-16 15:39:36,1.01 G,4.83 G,341.35 K,1.50 M
2019-06-16 15:39:38,1.01 G,4.84 G,314.90 K,1.39 M
2019-06-16 15:39:40,1.01 G,4.84 G,334.05 K,1.47 M
2019-06-16 15:39:42,1.01 G,4.84 G,322.86 K,1.43 M
2019-06-16 15:39:44,1.01 G,4.84 G,358.80 K,1.59 M
2019-06-16 15:39:46,1.01 G,4.85 G,319.02 K,1.41 M
2019-06-16 15:39:48,1.01 G,4.85 G,310.45 K,1.36 M
2019-06-16 15:39:50,1.01 G,4.85 G,303.67 K,1.34 M
2019-06-16 15:39:52,1.01 G,4.86 G,347.90 K,1.54 M
2019-06-16 15:39:54,1.01 G,4.86 G,310.48 K,1.38 M
2019-06-16 15:39:56,1.01 G,4.86 G,369.81 K,1.63 M
2019-06-16 15:39:58,1.01 G,4.86 G,335.17 K,1.48 M
2019-06-16 15:40:00,1.02 G,4.87 G,363.55 K,1.60 M
2019-06-16 15:40:02,1.02 G,4.87 G,325.21 K,1.43 M
2019-06-16 15:40:04,1.02 G,4.87 G,348.87 K,1.54 M
2019-06-16 15:40:06,1.02 G,4.88 G,332.54 K,1.46 M
