2019-06-14 12:33:29,3.22 T,172.19 G,24.10 M,5.47 M
2019-06-14 12:33:31,3.22 T,172.20 G,23.94 M,5.45 M
2019-06-14 12:33:34,3.22 T,172.21 G,23.98 M,5.24 M
2019-06-14 12:33:36,3.22 T,172.22 G,24.25 M,5.18 M
2019-06-14 12:33:38,3.22 T,172.23 G,24.50 M,5.24 M
2019-06-14 12:33:40,3.22 T,172.24 G,23.88 M,5.16 M
2019-06-14 12:33:42,3.22 T,172.25 G,24.10 M,5.21 M
2019-06-14 12:33:44,3.22 T,172.26 G,23.66 M,5.10 M
2019-06-14 12:33:46,3.22 T,172.27 G,24.33 M,5.26 M
2019-06-14 12:33:48,3.22 T,172.28 G,24.16 M,5.24 M
2019-06-14 12:33:50,3.22 T,172.29 G,23.48 M,5.04 M
2019-06-14 12:33:52,3.22 T,172.30 G,24.23 M,5.23 M
2019-06-14 12:33:54,3.22 T,172.31 G,24.40 M,5.25 M
2019-06-14 12:33:56,3.22 T,172.33 G,24.58 M,5.32 M
2019-06-14 12:33:58,3.22 T,172.34 G,24.14 M,5.22 M
2019-06-14 12:34:00,3.22 T,172.35 G,24.18 M,5.26 M
2019-06-14 12:34:02,3.22 T,172.36 G,24.46 M,5.32 M
2019-06-14 12:34:04,3.22 T,172.37 G,24.47 M,5.35 M
2019-06-14 12:34:06,3.22 T,172.38 G,24.78 M,5.37 M
2019-06-14 12:34:08,3.22 T,172.39 G,24.21 M,5.20 M
2019-06-14 12:34:10,3.22 T,172.40 G,23.39 M,5.07 M
2019-06-14 12:34:12,3.22 T,172.41 G,24.28 M,5.26 M
2019-06-14 12:34:14,3.22 T,172.42 G,25.33 M,5.41 M
2019-06-14 12:34:16,3.22 T,172.43 G,24.88 M,5.26 M
2019-06-14 12:34:18,3.22 T,172.44 G,24.71 M,5.28 M
2019-06-14 12:34:20,3.22 T,172.45 G,24.23 M,5.14 M
2019-06-14 12:34:22,3.22 T,172.46 G,24.50 M,5.17 M
2019-06-14 12:34:24,3.22 T,172.47 G,23.82 M,5.11 M
2019-06-14 12:34:26,3.22 T,172.48 G,24.04 M,5.22 M
2019-06-14 12:34:28,3.22 T,172.49 G,24.52 M,5.19 M
2019-06-14 12:34:30,3.22 T,172.50 G,23.82 M,4.97 M
2019-06-14 12:34:32,3.22 T,172.51 G,24.14 M,5.16 M
2019-06-14 12:34:34,3.22 T,172.52 G,24.62 M,5.20 M
2019-06-14 12:34:37,3.22 T,172.53 G,24.87 M,5.24 M
2019-06-14 12:34:39,3.22 T,172.54 G,24.32 M,5.18 M
2019-06-14 12:34:41,3.22 T,172.55 G,23.97 M,5.20 M
2019-06-14 12:34:43,3.22 T,172.56 G,24.49 M,5.29 M
2019-06-14 12:34:45,3.22 T,172.57 G,24.86 M,5.16 M
2019-06-14 12:34:47,3.22 T,172.58 G,24.38 M,5.08 M
2019-06-14 12:34:49,3.22 T,172.59 G,24.48 M,5.11 M
2019-06-14 12:34:51,3.22 T,172.60 G,24.66 M,5.10 M
2019-06-14 12:34:53,3.22 T,172.61 G,24.74 M,5.02 M
2019-06-14 12:34:55,3.22 T,172.62 G,24.39 M,4.82 M
2019-06-14 12:34:57,3.22 T,172.63 G,26.47 M,4.97 M
2019-06-14 12:34:59,3.22 T,172.64 G,26.19 M,4.86 M
