2019-06-04 16:00:43,166.12 M,5.87 G,0.00 B,936.00 B
2019-06-04 16:00:45,166.16 M,5.87 G,45.09 K,36.94 K
2019-06-04 16:00:47,166.36 M,5.87 G,104.79 K,85.82 K
2019-06-04 16:00:49,166.56 M,5.87 G,96.40 K,78.91 K
2019-06-04 16:00:51,166.75 M,5.87 G,96.11 K,78.67 K
2019-06-04 16:00:53,166.95 M,5.87 G,97.63 K,79.37 K
2019-06-04 16:00:55,167.13 M,5.87 G,99.80 K,81.36 K
2019-06-04 16:00:57,167.34 M,5.87 G,103.12 K,84.36 K
2019-06-04 16:00:59,167.54 M,5.87 G,104.57 K,85.90 K
2019-06-04 16:01:01,167.73 M,5.87 G,95.68 K,89.59 K
2019-06-04 16:01:03,167.94 M,5.87 G,104.79 K,85.80 K
2019-06-04 16:01:05,168.13 M,5.87 G,102.74 K,84.39 K
2019-06-04 16:01:07,168.33 M,5.87 G,93.37 K,76.45 K
2019-06-04 16:01:09,168.51 M,5.87 G,92.21 K,75.30 K
2019-06-04 16:01:11,168.70 M,5.87 G,93.62 K,76.49 K
2019-06-04 16:01:13,168.90 M,5.87 G,106.16 K,86.77 K
2019-06-04 16:01:15,169.09 M,5.87 G,93.01 K,75.94 K
2019-06-04 16:01:17,169.28 M,5.87 G,98.06 K,80.10 K
2019-06-04 16:01:19,169.47 M,5.87 G,99.29 K,80.94 K
2019-06-04 16:01:21,169.66 M,5.87 G,98.35 K,80.27 K
2019-06-04 16:01:23,169.87 M,5.87 G,111.58 K,91.37 K
2019-06-04 16:01:25,170.07 M,5.87 G,96.98 K,79.38 K
2019-06-04 16:01:27,170.27 M,5.87 G,97.78 K,79.65 K
2019-06-04 16:01:29,170.46 M,5.88 G,105.44 K,87.09 K
2019-06-04 16:01:31,170.66 M,5.88 G,99.58 K,81.64 K
2019-06-04 16:01:33,170.86 M,5.88 G,98.14 K,80.26 K
2019-06-04 16:01:35,171.05 M,5.88 G,98.93 K,81.34 K
2019-06-04 16:01:37,171.23 M,5.88 G,90.04 K,73.49 K
2019-06-04 16:01:39,171.43 M,5.88 G,97.92 K,79.99 K
2019-06-04 16:01:41,171.62 M,5.88 G,103.70 K,84.98 K
2019-06-04 16:01:43,171.81 M,5.88 G,95.39 K,77.78 K
2019-06-04 16:01:45,172.01 M,5.88 G,101.52 K,83.07 K
2019-06-04 16:01:47,172.33 M,5.88 G,169.17 K,137.96 K
2019-06-04 16:01:49,172.53 M,5.88 G,102.47 K,83.89 K
2019-06-04 16:01:51,172.73 M,5.88 G,102.73 K,83.96 K
2019-06-04 16:01:53,172.92 M,5.88 G,97.99 K,79.98 K
2019-06-04 16:01:55,173.11 M,5.88 G,94.31 K,77.26 K
2019-06-04 16:01:57,173.31 M,5.88 G,103.77 K,84.98 K
2019-06-04 16:01:59,173.51 M,5.88 G,102.91 K,88.28 K
2019-06-04 16:46:00,173.85 M,5.88 G,0.00 B,12.75 K
2019-06-04 16:46:03,173.85 M,5.88 G,0.00 B,1.22 K
2019-06-04 16:46:05,173.85 M,5.88 G,0.00 B,843.00 B
2019-06-04 16:46:08,173.86 M,5.88 G,204.00 B,921.00 B
2019-06-04 16:46:10,173.86 M,5.88 G,0.00 B,924.00 B
2019-06-04 16:46:12,173.87 M,5.88 G,10.13 K,536.99 K
2019-06-04 16:46:14,173.87 M,5.88 G,0.00 B,336.00 B
2019-06-04 16:46:16,173.87 M,5.88 G,0.00 B,1.18 K
2019-06-04 16:46:19,173.87 M,5.88 G,3.93 K,215.93 K
2019-06-04 16:46:21,173.88 M,5.89 G,0.00 B,996.00 B
2019-06-04 16:46:23,173.88 M,5.89 G,0.00 B,1.38 K
2019-06-04 16:46:25,173.88 M,5.89 G,0.00 B,564.00 B
2019-06-04 16:46:27,173.88 M,5.89 G,0.00 B,1.11 K
2019-06-04 16:46:29,173.88 M,5.89 G,0.00 B,612.00 B
2019-06-04 16:46:31,173.88 M,5.89 G,0.00 B,228.00 B
2019-06-04 16:46:33,173.88 M,5.89 G,0.00 B,1.05 K
2019-06-04 16:46:35,173.88 M,5.89 G,0.00 B,396.00 B
2019-06-04 16:46:37,173.89 M,5.89 G,8.71 K,531.51 K
2019-06-04 16:46:39,173.89 M,5.89 G,0.00 B,1.38 K
2019-06-04 16:46:41,173.89 M,5.89 G,0.00 B,324.00 B
2019-06-04 16:46:43,173.89 M,5.89 G,42.00 B,336.00 B
2019-06-04 16:46:45,173.90 M,5.89 G,7.61 K,494.24 K
2019-06-04 16:46:47,173.90 M,5.89 G,0.00 B,444.00 B
2019-06-04 16:46:49,173.90 M,5.89 G,0.00 B,996.00 B
2019-06-04 16:46:51,173.90 M,5.89 G,0.00 B,948.00 B
2019-06-04 16:46:53,173.90 M,5.89 G,0.00 B,804.00 B
2019-06-04 16:46:55,173.91 M,5.89 G,9.02 K,531.55 K
2019-06-04 16:46:57,173.91 M,5.89 G,0.00 B,747.00 B
2019-06-04 16:46:59,173.91 M,5.89 G,0.00 B,276.00 B
2019-06-04 16:47:01,173.91 M,5.89 G,0.00 B,13.25 K
2019-06-04 16:47:03,173.92 M,5.89 G,9.05 K,534.88 K
2019-06-04 16:47:05,173.92 M,5.89 G,0.00 B,1.16 K
2019-06-04 16:47:07,173.92 M,5.89 G,4.49 K,5.10 K
