2019-06-08 20:09:23,2.96 M,165.53 M,0.00 B,492.00 B
2019-06-08 20:09:25,2.96 M,165.53 M,0.00 B,984.00 B
2019-06-08 20:09:28,2.96 M,165.59 M,0.00 B,288.00 B
2019-06-08 20:09:30,2.96 M,165.59 M,0.00 B,1.16 K
2019-06-08 20:09:32,2.96 M,165.59 M,0.00 B,1.78 K
2019-06-08 20:09:35,2.96 M,165.62 M,0.00 B,540.00 B
2019-06-08 20:09:37,2.96 M,165.62 M,0.00 B,876.00 B
2019-06-08 20:09:39,2.97 M,165.86 M,5.43 K,238.42 K
2019-06-08 20:09:41,2.97 M,165.86 M,0.00 B,864.00 B
2019-06-08 20:09:43,2.97 M,165.86 M,0.00 B,168.00 B
2019-06-08 20:09:45,2.98 M,166.09 M,0.00 B,1.44 K
2019-06-08 20:09:47,2.98 M,166.10 M,0.00 B,708.00 B
2019-06-08 20:09:49,2.98 M,166.33 M,7.85 K,238.91 K
2019-06-08 20:09:51,2.98 M,166.33 M,0.00 B,744.00 B
2019-06-08 20:09:53,2.98 M,166.33 M,0.00 B,864.00 B
2019-06-08 20:09:55,2.99 M,166.57 M,0.00 B,1.22 K
2019-06-08 20:09:57,2.99 M,166.57 M,0.00 B,648.00 B
2019-06-08 20:09:59,3.00 M,166.80 M,6.91 K,238.72 K
2019-06-08 20:10:01,3.00 M,166.82 M,54.00 B,1.27 K
2019-06-08 20:10:03,3.00 M,167.02 M,5.54 K,206.83 K
2019-06-08 20:10:05,3.00 M,167.02 M,84.00 B,1.34 K
2019-06-08 20:10:07,3.00 M,167.02 M,0.00 B,432.00 B
2019-06-08 20:10:09,3.00 M,167.04 M,1.28 K,21.38 K
2019-06-08 20:10:12,3.01 M,167.04 M,0.00 B,0.00 B
2019-06-08 20:10:14,3.01 M,167.05 M,0.00 B,648.00 B
2019-06-08 20:10:16,3.01 M,167.39 M,0.00 B,816.00 B
2019-06-08 20:10:18,3.01 M,167.39 M,0.00 B,336.00 B
2019-06-08 20:10:20,3.02 M,167.74 M,54.00 B,708.00 B
2019-06-08 20:10:22,3.02 M,167.74 M,84.00 B,840.00 B
2019-06-08 20:10:24,3.03 M,168.09 M,0.00 B,168.00 B
2019-06-08 20:10:26,3.03 M,168.09 M,76.00 B,888.00 B
2019-06-08 20:10:28,3.04 M,168.44 M,0.00 B,1.48 K
2019-06-08 20:10:30,3.04 M,168.44 M,0.00 B,432.00 B
2019-06-08 20:10:32,3.04 M,168.79 M,0.00 B,1.11 K
2019-06-08 20:10:34,3.04 M,168.79 M,0.00 B,816.00 B
2019-06-08 20:10:36,3.05 M,169.14 M,0.00 B,972.00 B
2019-06-08 20:10:38,3.05 M,169.14 M,0.00 B,228.00 B
2019-06-08 20:10:40,3.06 M,169.49 M,0.00 B,648.00 B
2019-06-08 20:10:42,3.06 M,169.49 M,0.00 B,864.00 B
2019-06-08 20:10:44,3.07 M,169.84 M,0.00 B,216.00 B
2019-06-08 20:10:46,3.07 M,170.18 M,7.80 K,352.96 K
2019-06-08 20:10:48,3.07 M,170.19 M,0.00 B,492.00 B
2019-06-08 20:10:50,3.08 M,170.53 M,7.28 K,353.13 K
2019-06-08 20:10:52,3.08 M,170.53 M,0.00 B,540.00 B
2019-06-08 20:10:54,3.09 M,170.88 M,7.15 K,353.29 K
2019-06-08 20:10:56,3.09 M,170.88 M,0.00 B,1.22 K
2019-06-08 20:10:58,3.09 M,171.08 M,3.74 K,198.94 K
2019-06-08 20:11:00,3.09 M,171.08 M,0.00 B,3.12 K
2019-06-08 20:11:02,3.09 M,171.09 M,0.00 B,768.00 B
2019-06-08 20:11:04,3.10 M,171.31 M,6.68 K,217.81 K
2019-06-08 20:11:06,3.10 M,171.31 M,0.00 B,168.00 B
2019-06-08 20:11:08,3.10 M,171.31 M,0.00 B,648.00 B
2019-06-08 20:11:10,3.11 M,171.54 M,5.93 K,225.42 K
2019-06-08 20:11:12,3.11 M,171.54 M,0.00 B,471.00 B
2019-06-08 20:11:14,3.11 M,171.77 M,6.17 K,241.03 K
2019-06-08 20:11:16,3.11 M,171.78 M,0.00 B,228.00 B
2019-06-08 20:11:18,3.11 M,171.78 M,204.00 B,1.11 K
2019-06-08 20:11:20,3.12 M,171.99 M,42.00 B,876.00 B
2019-06-08 20:11:22,3.12 M,171.99 M,2.69 K,6.17 K
2019-06-08 20:11:24,3.13 M,172.21 M,6.76 K,221.25 K
2019-06-08 20:11:26,3.13 M,172.21 M,193.00 B,1.40 K
2019-06-08 20:11:28,3.13 M,172.21 M,0.00 B,687.00 B
2019-06-08 20:11:30,3.13 M,172.44 M,0.00 B,1.22 K
2019-06-08 20:11:32,3.13 M,172.44 M,0.00 B,864.00 B
2019-06-08 20:11:34,3.13 M,172.44 M,0.00 B,816.00 B
2019-06-08 20:11:36,3.14 M,172.66 M,0.00 B,780.00 B
2019-06-08 20:11:38,3.14 M,172.66 M,0.00 B,1.12 K
2019-06-08 20:11:40,3.15 M,172.87 M,6.08 K,217.74 K
2019-06-08 20:11:42,3.15 M,172.87 M,0.00 B,648.00 B
2019-06-08 20:11:44,3.15 M,172.87 M,0.00 B,576.00 B
2019-06-08 20:11:46,3.15 M,173.09 M,0.00 B,492.00 B
2019-06-08 20:11:48,3.15 M,173.09 M,0.00 B,108.00 B
2019-06-08 20:11:50,3.16 M,173.32 M,6.40 K,227.46 K
2019-06-08 20:11:52,3.16 M,173.32 M,0.00 B,876.00 B
2019-06-08 20:11:54,3.16 M,173.32 M,0.00 B,1.34 K
2019-06-08 20:11:56,3.16 M,173.53 M,6.25 K,212.89 K
2019-06-08 20:11:58,3.16 M,173.53 M,0.00 B,1.27 K
2019-06-08 20:12:00,3.16 M,173.54 M,0.00 B,2.97 K
2019-06-08 20:12:02,3.17 M,173.75 M,0.00 B,1.02 K
2019-06-08 20:12:04,3.17 M,173.75 M,0.00 B,600.00 B
2019-06-08 20:12:06,3.18 M,173.98 M,0.00 B,924.00 B
2019-06-08 20:12:08,3.18 M,173.98 M,0.00 B,492.00 B
