2019-06-03 15:15:10,12.19 M,364.35 M,0.00 B,168.00 B
2019-06-03 15:15:12,12.19 M,364.35 M,42.00 B,720.00 B
2019-06-03 15:15:14,12.20 M,364.84 M,8.73 K,506.82 K
2019-06-03 15:15:16,12.20 M,364.84 M,0.00 B,600.00 B
2019-06-03 15:15:18,12.20 M,364.85 M,0.00 B,1.08 K
2019-06-03 15:15:20,12.20 M,364.85 M,0.00 B,732.00 B
2019-06-03 15:15:22,12.21 M,365.36 M,9.57 K,522.58 K
2019-06-03 15:15:24,12.21 M,365.36 M,0.00 B,876.00 B
2019-06-03 15:15:26,12.21 M,365.36 M,0.00 B,784.00 B
2019-06-03 15:15:28,12.21 M,365.36 M,0.00 B,768.00 B
2019-06-03 15:15:30,12.21 M,365.36 M,0.00 B,612.00 B
2019-06-03 15:15:32,12.22 M,365.89 M,0.00 B,1008.00 B
2019-06-03 15:15:34,12.22 M,365.89 M,0.00 B,1.39 K
2019-06-03 15:15:36,12.22 M,365.89 M,0.00 B,552.00 B
2019-06-03 15:15:38,12.22 M,365.89 M,0.00 B,492.00 B
2019-06-03 15:15:40,12.22 M,366.41 M,8.69 K,528.01 K
2019-06-03 15:15:42,12.22 M,366.41 M,0.00 B,540.00 B
2019-06-03 15:15:44,12.22 M,366.41 M,0.00 B,720.00 B
2019-06-03 15:15:46,12.22 M,366.41 M,0.00 B,648.00 B
2019-06-03 15:15:48,12.23 M,366.47 M,1.61 K,62.48 K
2019-06-03 15:15:50,12.23 M,366.92 M,0.00 B,924.00 B
2019-06-03 15:15:52,12.23 M,366.92 M,0.00 B,492.00 B
2019-06-03 15:15:54,12.23 M,366.92 M,0.00 B,996.00 B
2019-06-03 15:15:56,12.23 M,366.92 M,0.00 B,552.00 B
2019-06-03 15:15:58,12.24 M,367.44 M,0.00 B,816.00 B
2019-06-03 15:16:00,12.24 M,367.44 M,0.00 B,1.05 K
2019-06-03 15:16:02,12.24 M,367.46 M,0.00 B,324.00 B
2019-06-03 15:16:04,12.24 M,367.46 M,0.00 B,1.34 K
2019-06-03 15:16:06,12.25 M,367.97 M,8.91 K,526.86 K
2019-06-03 15:16:08,12.25 M,367.97 M,0.00 B,168.00 B
2019-06-03 15:16:10,12.25 M,367.98 M,204.00 B,690.00 B
2019-06-03 15:16:12,12.25 M,367.98 M,42.00 B,504.00 B
2019-06-03 15:16:14,12.25 M,367.98 M,0.00 B,984.00 B
2019-06-03 15:16:17,12.25 M,368.07 M,0.00 B,1.07 K
2019-06-03 15:16:19,12.25 M,368.07 M,0.00 B,924.00 B
2019-06-03 15:16:21,12.25 M,368.08 M,0.00 B,780.00 B
2019-06-03 15:16:23,12.25 M,368.08 M,0.00 B,1.18 K
2019-06-03 15:16:26,12.26 M,368.11 M,0.00 B,876.00 B
2019-06-03 15:16:28,12.26 M,368.11 M,0.00 B,936.00 B
2019-06-03 15:16:30,12.26 M,368.11 M,0.00 B,1.40 K
2019-06-03 15:16:32,12.26 M,368.11 M,0.00 B,672.00 B
2019-06-03 15:16:34,12.26 M,368.32 M,6.15 K,209.32 K
2019-06-03 15:16:36,12.26 M,368.32 M,0.00 B,1.50 K
2019-06-03 15:16:38,12.26 M,368.32 M,0.00 B,552.00 B
2019-06-03 15:16:40,12.26 M,368.32 M,0.00 B,456.00 B
